<<<<<<< HEAD
Code,Description,CodeType,Deprecated,Created,Modified,
BAP3OH,3-hydroxy benzo(a)pyrene,PARAM,False,2006-10-23,2019-01-14,
BAP3OH-QC,3-hydroxy benzo(a)pyrene normalised (QC parameter),PARAM,False,2013-08-02,2013-08-02,
BAPM7,Benzo[a]pyrene  7-methyl-,PARAM,False,2006-10-23,2006-10-23,
BASFC,basophilic foci,PARAM,False,2006-10-23,2008-06-11,
BB209,decabromobiphenyl (PBB209),PARAM,False,2006-10-23,2006-10-23,
BBA,benz[b]anthracene,PARAM,False,2006-10-23,2006-10-23,
BBF,benzo[b]fluoranthene,PARAM,False,2006-10-23,2019-01-14,
BBJF,benzo[b+j]fluoranthene,PARAM,False,2006-10-23,2006-10-23,
BBJKF,benzo[b+j k]fluoranthene,PARAM,False,2006-10-23,2006-10-23,
BBKF,benzo[b+k]fluoranthene,PARAM,False,2006-10-23,2006-10-23,
BBP,Benzyl butyl phthalate,PARAM,False,2016-04-08,2019-01-14,
BD100,2 2' 4 4' 6-pentabromodiphenyl ether (PBDE100),PARAM,False,2006-10-23,2019-01-14,
BD105,2 3 3' 4 4'-pentabromodiphenyl ether (PBDE105),PARAM,False,2006-10-23,2019-01-14,
BD116,Benzene  pentabromophenoxy- (PBDE116),PARAM,False,2006-10-23,2019-01-14,
BD119,2 3' 4 4' 6-pentabromodiphenyl ether (BDE119),PARAM,False,2006-10-23,2019-01-14,
BD126,3 3' 4 4' 5-pentabromodiphenyl ether (PBDE126),PARAM,False,2006-10-23,2019-01-14,
BD126+155,BD126 + BD155,PARAM,False,2015-03-17,2015-03-17,
BD138,2 2' 3 4 4' 5'-hexabromodiphenyl ether (PBDE138),PARAM,False,2006-10-23,2006-10-23,
BD139,2 2' 3 4 4' 6-Hexabromodiphenyl ether (PBDE139),PARAM,False,2015-03-17,2015-03-17,
BD140,2 2' 3 4 4' 6'-hexabromodiphenyl ether (PBDE140),PARAM,False,2006-10-23,2006-10-23,
BD153,2 2' 4 4' 5 5'-hexabromodiphenyl ether (PBDE153),PARAM,False,2006-10-23,2019-01-14,
BD154,2 2' 4 4' 5 6'-hexabromodiphenyl ether (PBDE154),PARAM,False,2006-10-23,2019-01-14,
BD155,2 2' 4 4' 6 6'-hexabromodiphenyl ether (PBDE155),PARAM,False,2006-10-23,2006-10-23,
BD156,Benzene  1 2 3 4-tetrabromo-5-(3 4-dibromophenoxy)- (BDE156),PARAM,False,2006-10-23,2012-09-27,
BD163,benzene  1 2 4 5-tetrabromo-3-(3 4-dibromophenoxy)- (BDE163),PARAM,False,2006-10-23,2012-09-27,
BD166,2 3 4 4' 5 6-hexabromodiphenyl ether (BDE166),PARAM,False,2006-10-23,2012-09-27,
BD171,2 2' 3 3' 4 4' 6-Heptabromodiphenyl ether (PBDE171),PARAM,False,2015-03-17,2015-03-17,
BD175,Benzene  1 2 3 5-tetrabromo-4-(2 3 5-tribromophenoxy)- (BDE175),PARAM,False,2012-09-24,2012-09-27,
BD180,2 2' 3 4 4' 5 5'-Heptabromodiphenyl ether (PBDE180),PARAM,False,2015-03-17,2015-03-17,
BD181,2 2' 3 4 4' 5 6-heptabromodiphenyl ether (BDE181),PARAM,False,2006-10-23,2012-09-27,
BD183,2 2' 3 4 4' 5' 6-heptabromodiphenyl ether (BDE183),PARAM,False,2006-10-23,2019-01-14,
BD184,2 2' 3 4 4' 6 6'-Heptabromodiphenyl ether (BDE184),PARAM,False,2011-11-17,2012-09-27,
BD190,2 3 3' 4 4' 5 6-heptabromodiphenyl ether (BDE190),PARAM,False,2006-10-23,2012-09-27,
BD191,2 3 3' 4 4' 5' 6-Heptabromodiphenyl ether,PARAM,False,2011-11-23,2011-11-23,
BD196,2 2' 3 3' 4 4' 5 6'-Octabromodiphenyl ether (BDE196),PARAM,False,2011-11-17,2012-09-27,
BD197,Benzene  1 1'-oxybis[2 3 4 6-tetrabromo-(BDE197),PARAM,False,2006-10-23,2012-09-27,
BD201,2 2' 3 3' 4 5' 6 6'-Octabromodiphenyl ether (PBDE201),PARAM,False,2015-03-17,2015-03-17,
BD202,Benzene  1 1'-oxybis[2 3 5 6-tetrabromo- (PBDE202),PARAM,False,2014-09-20,2014-09-20,
BD203,Benzene  pentabromo(2 4 5-tribromophenoxy)-  (PBDE 203),PARAM,False,2006-10-23,2006-10-23,
BD205,Benzene  1 2 3 4 5-pentabromo-6-(3 4 5-tribromophenoxy)- (PBDE205),PARAM,False,2007-04-23,2011-08-15,
BD206,Benzene  1 2 3 4 5-pentabromo-6-(2 3 4 5-tetrabromophenoxy)- (PBDE206),PARAM,False,2011-08-15,2011-08-15,
BD207,Benzene  pentabromo(2 3 4 6-tetrabromophenoxy)-  (PBDE 207),PARAM,False,2006-10-23,2006-10-23,
BD208,Benzene  1 2 3 4 5-pentabromo-6-(2 3 5 6-tetrabromophenoxy)- (PBDE208),PARAM,False,2011-08-15,2011-08-15,
BD209,decabromodiphenyl ether (PBDE209),PARAM,False,2006-10-23,2019-01-14,
BDCM,Bromodichloromethane,PARAM,False,2006-10-23,2006-10-23,
BDDHx1,1 2 3 4 7 8-hexabromodibenzodioxin (BDDHx1),PARAM,False,2015-03-18,2015-03-18,
BDDHx2,1 2 3 6 7 8-hexabromodibenzodioxin (BDDHx2),PARAM,False,2015-03-18,2015-03-18,
BDDHx3,1 2 3 7 8 9-Hexabromodibenzodioxin (BDDHx3),PARAM,False,2015-03-18,2015-03-18,
BDDPe1,1 2 3 7 8-Pentabromodibenzodioxin (BDDPe1),PARAM,False,2015-03-18,2015-03-18,
BDDTe1,2 3 7 8-Tetrabromodibenzodioxin (BDDTe1),PARAM,False,2015-03-18,2015-03-18,
BDDTr1,2 3 7-Tribromodibenzodioxin (BDDTr1),PARAM,False,2015-03-18,2015-03-18,
BDE1,Benzene  1-bromo-2-phenoxy- (PBDE1),PARAM,False,2007-09-17,2007-09-17,
BDE10,Benzene  1 3-dibromo-2-phenoxy- (PBDE10),PARAM,False,2006-10-23,2006-10-23,
BDE11,3 3'-Dibromodiphenyl ether (PBDE11),PARAM,False,2015-02-26,2015-02-26,
BDE12,3 4-Dibromodiphenyl ether (PBDE12),PARAM,False,2015-02-26,2015-02-26,
BDE12+13,BDE12 + BDE13,PARAM,False,2015-02-26,2015-02-26,
BDE126+155,BDE126 + BDE155,PARAM,False,2015-02-26,2015-02-26,
BDE13,Benzene  1-bromo-3-(4-bromophenoxy)- (PBDE13),PARAM,False,2006-10-23,2006-10-23,
BDE15,4 4'-dibromodiphenyl ether (PBDE15),PARAM,False,2006-10-23,2006-10-23,
BDE17,2 2' 4-tribromodiphenyl ether (BDE17),PARAM,False,2006-10-23,2012-10-01,
BDE2,Benzene  1-bromo-3-phenoxy- (PBDE2),PARAM,False,2007-09-17,2007-09-17,
BDE25,2 3' 4-tribromodiphenyl ether (BDE25),PARAM,False,2006-10-23,2012-10-01,
BDE28,2 4 4'-tribromodiphenyl ether (PBDE28),PARAM,False,2006-10-23,2019-01-14,
BDE28+33,BDE28+ BDE33,PARAM,False,2015-02-26,2015-02-26,
BDE3,Benzene  1-bromo-4-phenoxy-,PARAM,False,2007-09-17,2007-09-17,
BDE30,2 4 6-Tribromodiphenyl ether (PBDE30),PARAM,False,2015-02-26,2015-02-27,
BDE32,2 4' 6-tribromodiphenyl ether (BDE32),PARAM,False,2006-10-23,2012-10-01,
BDE33,2' 3 4-tribromodiphenyl ether (BDE33),PARAM,False,2006-10-23,2012-10-01,
BDE35,3 3' 4-tribromodiphenyl ether (BDE35),PARAM,False,2006-10-23,2012-10-01,
BDE37,3 4 4'-tribromodiphenyl ether (BDE37),PARAM,False,2006-10-23,2012-10-01,
BDE47,2 2' 4 4'-tetrabromodiphenyl ether (PBDE47),PARAM,False,2006-10-23,2019-01-14,
BDE49,2 2' 4 5'-tetrabromodiphenyl ether (BDE49),PARAM,False,2006-10-23,2012-10-01,
BDE52,benzene  1 1'-oxybis[2 5-dibromo- (9CI)  (BDE52),PARAM,False,2006-10-23,2012-09-27,
BDE54,Bis(2 6-dibromophenyl) ether (PBDE54),PARAM,False,2015-03-17,2015-03-17,
BDE66,2 3' 4 4'-tetrabromodiphenyl ether (BDE66),PARAM,False,2006-10-23,2019-01-14,
BDE7,Benzene  2 4-dibromo-1-phenoxy-  (BDE 7),PARAM,False,2006-10-23,2012-09-27,
BDE71,2 3' 4' 6-tetrabromodiphenyl ether (BDE71),PARAM,False,2006-10-23,2012-10-01,
BDE75,2 4 4' 6-tetrabromodiphenyl ether (BDE75),PARAM,False,2006-10-23,2012-10-01,
BDE77,3 3' 4 4'-tetrabromodiphenyl ether (BDE77),PARAM,False,2006-10-23,2012-10-01,
BDE8,2 4'-Dibromodiphenyl ether (PBDE8),PARAM,False,2015-02-26,2015-02-26,
BDE85,2 2' 3 4 4'-pentabromodiphenyl ether (PBDE85),PARAM,False,2006-10-23,2019-01-14,
BDE99,2 2' 4 4' 5-pentabromodiphenyl ether (PBDE99),PARAM,False,2006-10-23,2019-01-14,
BDFHp1,1 2 3 4 6 7 8-Heptabromodibenzofuran (BDFHp1),PARAM,False,2015-03-18,2015-03-18,
BDFHx1,1 2 3 4 7 8-Hexabromodibenzofuran (BDFHx1),PARAM,False,2015-03-18,2015-03-18,
BDFPe1,1 2 3 7 8-Pentabromodibenzofuran (BDFPe1),PARAM,False,2015-03-18,2015-03-18,
BDFPe2,2 3 4 7 8-Pentabromodibenzofuran (BDFPe2),PARAM,False,2015-03-18,2015-03-18,
BDFTe1,2 3 7 8-Tetrabromodibenzofuran (BDFTe1),PARAM,False,2015-03-18,2015-03-18,
BDFTr1,2 3 8-Tribromodibenzofuran (BDFTr1),PARAM,False,2015-03-18,2015-03-18,
BE,Beryllium,PARAM,False,2012-08-01,2019-01-14,
BENTZN,Bentazon,PARAM,False,2006-10-23,2019-01-14,
BENZ,benzene,PARAM,False,2006-10-23,2019-01-14,
BEP,benzo[e]pyrene,PARAM,False,2006-10-23,2019-01-14,
BESTD,Beta-estradiol,PARAM,False,2016-12-23,2019-01-14,
BFIB,Bezafibrate,PARAM,False,2019-07-10,2019-07-10,
BFLA,benzo[a]fluorene,PARAM,False,2006-10-23,2006-10-23,
BFLB,benzo[b]fluorene,PARAM,False,2006-10-23,2006-10-23,
BFN,Bifenox,PARAM,False,2016-04-26,2019-01-14,
BGHIF,Benzo[ghi]fluoranthene,PARAM,False,2007-01-19,2019-01-14,
BGHIP,benzo[ghi]perylene,PARAM,False,2006-10-23,2019-01-14,
BI,Bismuth,PARAM,False,2019-01-17,2019-01-17,
BI214,bismuth-214,PARAM,False,2006-10-23,2006-10-23,
BIFEN,Bifenthrin,PARAM,False,2018-09-25,2018-09-25,
BIPN,biphenyl,PARAM,False,2006-10-23,2006-10-23,
BJF,benzo[j]fluoranthene,PARAM,False,2006-10-23,2006-10-23,
BJKF,benzo[j k]fluoranthene,PARAM,False,2006-10-23,2006-10-23,
BKF,benzo[k]fluoranthene,PARAM,False,2006-10-23,2019-01-14,
BMAFDWT,Biomass - ash free dry weight,PARAM,False,2006-10-23,2006-10-23,
BMASHWT,Biomass - Ash weight - for legacy data,PARAM,False,2009-09-19,2009-09-19,
BMCCONT,Biomass - carbon content (for reported specie in sample),PARAM,False,2006-10-23,2016-09-30,
BMCEVOL,Biomass - cell volume (for reported specie in sample),PARAM,False,2006-10-23,2016-09-30,
BMDRYWT,Biomass - dry weight,PARAM,False,2006-10-23,2006-10-23,
BMDSVOL,Biomass - displacement volume,PARAM,False,2006-10-23,2006-10-23,
BMOEP,Bis(2-methoxyethyl) phthalate,PARAM,False,2018-05-31,2019-01-14,
BMPLVOL,Biomass - plasma volume,PARAM,False,2006-10-23,2014-11-20,
BMSTVOL,Biomass - settled volume,PARAM,False,2006-10-23,2006-10-23,
BMWETWT,Biomass - wet weight,PARAM,False,2006-10-23,2006-10-23,
BOD21,biological oxygen demand (21 days),PARAM,False,2006-10-23,2006-10-23,
BOD5,biological oxygen demand (5 days),PARAM,False,2006-10-23,2006-10-23,
BOD7,biological oxygen demand (7 days),PARAM,False,2006-10-23,2006-10-23,
BotCurDir,Bottom current direction  (degrees) (MATRX=SI),PARAM,False,2010-02-18,2010-02-18,
BotCurSpeed,Bottom current speed (MATRX=SI),PARAM,False,2010-02-18,2010-02-18,
BotSal,Bottom salinity (MATRX=SI),PARAM,False,2010-02-18,2010-02-18,
BotTemp,bottom temperature (MATRX=SI),PARAM,False,2010-01-29,2014-11-05,
BPA,Bisphenol A,PARAM,False,2017-01-02,2019-01-14,
BPROL,Bisoprolol,PARAM,False,2019-07-10,2019-07-10,
BR,bromide,PARAM,False,2006-10-23,2006-10-23,
BREADTH,breadth (ex. matrix EG),PARAM,False,2006-10-23,2006-10-23,
BRFRM,bromoform,PARAM,False,2007-07-31,2007-07-31,
BRMCL,Bromacil,PARAM,False,2012-07-24,2019-01-14,
BROCY,Bromocyclen,PARAM,False,2006-10-23,2006-10-23,
br-PFDS,Perfluorodecanesulfonic acid - branched form,PARAM,False,2018-09-14,2018-09-14,
br-PFHXS,Perfluorohexanesulfonic acid - branched form,PARAM,False,2018-09-14,2018-09-14,
br-PFOS,Perfluorooctanyl sulphonic acid - branched form,PARAM,False,2018-09-14,2018-09-21,
br-PFOSD,Perfluorooctanesulfonamide - branched form,PARAM,False,2018-09-14,2018-09-14,
BSCLD,Boscalid,PARAM,False,2018-09-25,2018-09-25,
BUCEPH,Bucephalid sp.,PARAM,False,2012-03-05,2012-03-05,
C13,Carbon isotope of mass 13,PARAM,False,2012-03-22,2018-08-31,
C13D,delta C13 (isotope ratio ?13C:12C),PARAM,False,2018-08-31,2019-09-05,
CA,calcium,PARAM,False,2006-10-23,2006-10-23,
CACO3,calcium carbonate,PARAM,False,2006-10-23,2006-10-23,
CALI GUS,Caligus sp. (stages 1-3 specified in MUNIT),PARAM,False,2007-11-05,2007-11-05,
CALK,carbonate alkalinity,PARAM,False,2006-10-23,2006-10-23,
CAO,Calcium oxide,PARAM,False,2016-04-05,2016-04-05,
CAT,catalase activity  (Unit example: micromol/min/mg protein),PARAM,False,2006-10-23,2006-10-23,
CB1,1 1'-Biphenyl  2-chloro- (CB1),PARAM,False,2012-11-23,2012-11-23,
CB10,1 1'-Biphenyl  2 6-dichloro- (CB10),PARAM,False,2013-01-24,2013-01-24,
CB100,1 1'-Biphenyl  2 2' 4 4' 6-pentachloro- (CB100),PARAM,False,2013-01-28,2013-01-28,
CB101,2 2' 4 5 5'-pentachlorobiphenyl (CB101),PARAM,False,2006-10-23,2019-01-14,
CB103,1 1'-Biphenyl  2 2' 4 5' 6-pentachloro- (CB103),PARAM,False,2012-11-23,2012-11-23,
CB105,2 3 3' 4 4'-pentachlorobiphenyl (CB105),PARAM,False,2006-10-23,2019-01-14,
CB107,1 1'-Biphenyl  2 3 3' 4' 5-pentachloro- (CB107),PARAM,False,2013-01-24,2013-01-24,
CB107+147,1 1'-Biphenyl  2 3 3' 4' 5-pentachloro- (CB107) + 1 1'-Biphenyl  2 2' 3 4' 5 6-hexachloro- (CB147),PARAM,False,2012-11-22,2019-05-20,
CB110,2 3 3' 4' 6-pentachlorobiphenyl (CB110),PARAM,False,2006-10-23,2019-01-14,
CB114,2 3 4 4' 5-pentachlorobiphenyl (CB114),PARAM,False,2006-10-23,2019-01-14,
CB118,2 3' 4 4' 5-pentachlorobiphenyl (CB118),PARAM,False,2006-10-23,2019-01-14,
CB118+133,2 3' 4 4' 5-pentachlorobiphenyl (CB118) + 2 3 5 2' 3' 5'-hexachlorobiphenyl (CB133),PARAM,False,2019-05-20,2019-05-20,
CB119,1 1'-Biphenyl  2 3' 4 4' 6-pentachloro- (CB119),PARAM,False,2013-01-25,2013-01-25,
CB12,3 4-Dichlorobiphenyl (CB12),PARAM,False,2015-03-17,2015-03-17,
CB12+13,CB12 + CB13,PARAM,False,2015-03-17,2015-03-17,
CB122,1 1'-Biphenyl  2 3 3' 4' 5'-pentachloro- (CB122),PARAM,False,2016-08-15,2016-08-15,
CB123,1 1'-Biphenyl  2 3' 4 4' 5'-pentachloro- (CB123),PARAM,False,2007-09-17,2019-01-14,
CB124,1 1'-Biphenyl  2 3' 4' 5 5'-pentachloro- (CB124),PARAM,False,2013-01-24,2013-01-24,
CB124+135+144,CB124 + CB135 + CB144,PARAM,False,2012-11-23,2012-11-23,
CB126,3 3' 4 4' 5-pentachlorobiphenyl (CB126),PARAM,False,2006-10-23,2019-01-14,
CB128,2 2' 3 3' 4 4'-hexachlorobiphenyl (CB128),PARAM,False,2006-10-23,2006-10-23,
CB128+174,2 2' 3 3' 4 4'-hexachlorobiphenyl (CB128) + 1 1'-Biphenyl  2 2' 3 3' 4 5 6'-heptachloro- (CB174),PARAM,False,2016-06-16,2019-08-08,
CB129,2 2' 3 3' 4 5-Hexachlorobiphenyl (CB129),PARAM,False,2006-10-23,2007-01-19,
CB129+178,2 2' 3 3' 4 5-hexachlorobiphenyl (CB129) + 1 1'-Biphenyl  2 2' 3 3' 5 5' 6-heptachloro- (CB178),PARAM,False,2015-02-26,2019-05-20,
CB12E,1 2 bis (pentabromophenyl) ethane (CB12E),PARAM,False,2006-10-23,2006-10-23,
CB13,3 4'-Dichlorobiphenyl (CB13),PARAM,False,2015-03-17,2015-03-17,
CB130,2 3 4-2' 3' 5'-Hexachlorobiphenyl (CB130),PARAM,False,2015-03-17,2015-03-17,
CB131,1 1'-Biphenyl  2 2' 3 3' 4 6-hexachloro- (CB131),PARAM,False,2013-01-25,2013-01-25,
CB131+134,1 1'-Biphenyl  2 2' 3 3' 4 6-hexachloro- (CB131) + 1 1'-Biphenyl  2 2' 3 3' 5 6-hexachloro- (CB134),PARAM,False,2015-03-16,2019-05-20,
CB132,2 2' 3 3' 4 6'-hexachlorobiphenyl (CB132),PARAM,False,2006-10-23,2006-10-23,
CB133,2 3 5 2' 3' 5'-Hexachlorobiphenyl (CB133),PARAM,False,2015-03-17,2015-03-17,
CB134,1 1'-Biphenyl  2 2' 3 3' 5 6-hexachloro- (CB134),PARAM,False,2015-03-16,2015-03-16,
CB134+143,CB134 + CB143,PARAM,False,2012-11-23,2012-11-23,
CB135,1 1'-Biphenyl  2 2' 3 3' 5 6'-hexachloro- (CB135),PARAM,False,2013-01-24,2013-01-24,
